# source: opsd_household_fetch
hour,demand_kwh_reference
0,0.20526179483215673
1,0.22432181863777176
2,0.2837011235715274
3,0.27637034518447573
4,0.3320842609246563
5,0.33355041660211965
6,0.7330778386859321
7,0.38120047611653257
8,0.6172515401735676
9,0.2661072554429362
10,0.28590035708737993
11,0.19206639373577716
12,0.2514456986692059
13,0.5666691693042001
14,0.35480967392394663
15,0.29909575818373996
16,0.5241506546604263
17,0.5292821995312856
18,0.4163882123735144
19,0.40465896695460596
20,0.3504112068917819
21,0.3335504166020194
22,0.4948275411130127
23,0.22725412999254607
24,0.43398208050211207
25,0.20379563915459248
26,0.1444163342210771
27,0.23825029757293315
28,0.25291185434659763
29,0.2697726446363992
30,0.29469729115177445
31,0.2257879743151752
32,0.14441633422120342
33,0.12315707689918375
34,0.19939717212258792
35,0.4618390383720429
36,0.4530421043078072
37,0.5901276601421055
38,0.2859003570875466
39,0.3885312545035198
40,0.3738696977296391
41,0.4068582004706597
42,0.538812211434208
43,0.670766222397436
44,0.6451084980436371
45,0.43984670321156044
46,0.6062553725931121
47,0.22725412999254607
48,0.2639080219269717
49,0.2059948726706644
50,0.24484799812106953
51,0.2639080219269196
52,0.23678414189550234
53,0.5608045465947452
54,0.41198974534146426
55,0.1986640942837996
56,0.18986716021973843
57,0.1781379148006073
58,0.16494251370427462
59,0.1869348488649706
60,0.21479180673482717
61,0.5490753011756974
62,0.4728352059525289
63,0.453042104307802
64,0.5974584385290094
65,0.47796675082311735
66,1.1846537873163547
67,0.9896550822258665
68,0.34601273985972264
69,0.29323113547427987
70,0.7125516592026793
71,0.2059948726706462
72,0.5109552535641848
73,0.18326945967137023
74,0.16274328018823522
75,0.2419156867663434
76,0.2749041895071921
77,0.2477803094758686
78,0.7184162819121628
79,0.252911854346556
80,0.2507126208304775
81,0.5937930493356016
82,0.2771034230232315
83,0.465504427565487
84,0.9837904595164741
85,0.7257470602989208
86,0.4896959962422745
87,0.3724035420522656
88,0.36433968582692244
89,0.4669705832428162
90,0.39073048801965554
91,0.40319281127716605
92,0.2771034230232132
93,0.18473561534882446
94,0.27343803382984466
95,0.439113625372944
96,0.18180330399407227
97,0.564469935787994
98,0.1297547774474725
99,0.22212258512173105
100,0.22872028566999247
101,0.2793026565393021
102,0.31302423711891303
103,0.8577010712624249
104,0.3203550155057336
105,0.33208426092473187
106,0.30789269224805116
107,0.24924646515320562
108,0.33501657227943193
109,0.4215197572443112
110,0.22212258512173105
111,0.21112641754160966
112,0.287366512764812
113,0.32035501550571793
114,0.384865865310146
115,0.36287353014941354
116,0.22065642944439925
117,0.19573178292922713
118,0.15907789099481193
119,0.14881480125312985
120,0.21259257321895708
121,0.15394634612396568
122,0.1576117353175791
123,0.2529118543466263
124,0.21259257321877478
125,0.26757341112037675
126,0.31302423711885574
127,1.0101812617091421
128,0.6143192288186194
129,0.5915938158195675
130,0.3936627993743348
131,0.38706509882605256
132,0.3716704642136805
133,0.6839616234939823
134,0.646574653720883
135,0.4068582004706024
136,0.4640382718882672
137,0.4215197572442955
138,0.3833997096327256
139,0.3694712306975916
140,0.26390802192700813
141,0.15248019044661823
142,0.22138950728315632
143,0.12682246609263698
144,0.18840100454214617
145,0.17593868128468773
146,0.16934098073642112
147,0.29323113547425905
148,0.20672795050950482
149,0.2419156867662236
150,0.20159640563865336
151,0.1612771245108383
152,0.15028095693070126
153,0.2272541299925096
154,0.12975477744748812
155,0.19279947157433955
156,0.19573178292915944
157,0.223588740799141
158,0.19646486076780711
159,0.30056191386120457
160,0.24924646515328375
161,0.40319281127719214
162,0.34821197337570475
163,0.2639080219269092
164,0.32841887173128514
165,0.1715402142525152
166,0.1392847893502673
167,0.2037956391545964
168,0.16127712451098414
169,0.11582629851227075
170,0.2631749440883553
171,0.21259257321885291
172,0.21479180673487927
173,0.26390802192693
174,0.6744316115909427
175,0.645108498043546
176,0.19939717212260094
177,0.18326945967154473
178,0.1392847893502673
179,0.17447252560719445
180,0.21772411808973563
181,0.197931016445066
182,0.24778030947588942
183,0.3518773625692192
184,1.0680944109651942
185,0.40172665559984466
186,0.3372158057956094
187,0.2529118543464909
188,0.23091951918608133
189,0.2367841418955232
190,0.14954787909202755
191,0.14148402286635098
192,0.20159640563851272
193,0.1480817234146124
194,0.17813791480062555
195,0.2917649797969793
196,0.2309195191860657
197,0.21552488457351654
198,0.20746102834818375
199,0.15541250180146937
200,0.19646486076779668
201,0.5483422233368752
202,0.3144903927963386
203,0.2968965246677266
204,0.2844342014100494
205,0.6890931683647348
206,0.3643396858268964
207,0.4383805475341922
208,0.8650318496492142
209,1.0153128065799155
210,0.9691289027427628
211,0.6619692883332446
212,0.6561046656238341
213,0.2213895072831615
214,0.20526179483199591
215,0.2441149202823229
216,0.16494251370442045
217,0.142950178543688
218,0.22138950728305212
219,0.21112641754167735
220,0.19279947157422495
221,0.777062509007102
222,0.5622707022719624
223,0.2807688122167485
224,0.2946972911516898
225,0.24191568676634861
226,0.23825029757294355
227,0.7807278982003353
228,0.29323113547431634
229,0.6451084980435355
230,0.32255424902180163
231,0.6143192288187392
232,0.3445465841824143
233,1.1560637516075718
234,0.6612362104946073
235,0.5615376244334033
236,0.4119897453413549
237,0.25657724354010947
238,0.2639080219267998
239,0.19573178292919588
240,0.17447252560719964
241,0.14441633422115002
242,0.16127712451089038
243,0.2059948726706644
244,0.23971645325033786
245,0.17227329209110037
246,0.19793101644525352
247,0.258043399217483
248,0.1759386812845575
249,0.5336806665632394
250,0.19939717212261138
251,0.4075912783093282
252,0.5732668698523078
253,0.44131285888887145
254,0.2822349678940126
255,1.2608938825396743
256,0.8943549631968141
257,1.4536933541140242
258,0.785859443071166
259,0.5681353249814823
260,0.5175529541121779
261,0.46330519404957266
262,0.5608045465945889
263,0.19206639373578563
264,0.6216500072055442
265,0.18107022615545584
266,0.14661556773712953
267,0.2367841418955857
268,0.23238567486333503
269,0.22432181863780432
270,0.2690395667977919
271,0.5864622709487056
272,1.090819823964538
273,0.3364827279567742
274,0.36140737447203486
275,0.3210880933444125
276,0.3423473506663827
277,0.3518773625692296
278,0.3973281885675836
279,0.3298850274087159
280,0.4750344394684459
281,0.7682655749427882
282,0.5160867984348096
283,0.5754661033683341
284,0.4801659843393234
285,0.3518773625691567
286,0.5446768341435275
287,0.370204308536432
288,0.5116883314026319
289,0.2873665127649839
290,0.22578797431511008
291,0.20672795050952045
292,0.2470472316370386
293,0.28443420141020564
294,0.635578486140496
295,0.5871953487874575
296,0.9889220043871251
297,0.9493358010982962
298,1.1567968294461934
299,0.9530011902916283
300,0.3665389193429436
301,0.37533585340704906
302,0.39806126640652295
303,0.6304469412697434
304,0.4105235896641273
305,1.3451978339885116
306,0.5879284266260217
307,0.5798645704005639
308,0.48529752921000296
309,0.21772411808960018
310,0.17813791480080265
311,0.1796040704779313
312,0.1260893882540466
313,0.1304878552860681
314,0.23238567486333503
315,0.18180330399408268
316,0.20013024996132675
317,0.28003573437800705
318,0.5182860319509194
319,0.1759386812845679
320,0.1891340823808928
321,0.15174711260801746
322,0.15101403476921352
323,0.12755554393145654
324,0.23311875270202437
325,0.25804339921745173
326,0.23678414189546068
327,0.2968965246677787
328,0.3973281885678024
329,0.7733971198135825
330,1.0431697644498865
331,0.6157853844961336
332,0.6157853844961023
333,0.39586203289028826
334,0.2653741776043139
335,0.1979310164452587
336,0.1268224660926422
337,0.19426562725165572
338,0.19060023805837567
339,0.23238567486332462
340,0.22945336350865056
341,0.43251592482470347
342,0.5329475887246542
343,0.27343803382979254
344,0.44351209240499156
345,0.24558107595970158
346,0.21992335160569948
347,0.7499386289756276
348,0.5109552535640259
349,0.30056191386122544
350,0.315223470634929
351,0.30789269224808763
352,0.32255424902178076
353,0.47430136162969405
354,0.595992282851667
355,0.6047892169158247
356,0.5461429898209479
357,0.6758977672682328
358,0.22578797431539135
359,0.19793101644508163
360,0.23605106405691717
361,0.21332565105749537
362,0.21185949538020002
363,0.22945336350864015
364,0.24338184244369604
365,0.2587764770561619
366,0.24338184244375854
367,0.20379563915462764
368,0.18107022615544544
369,0.14661556773712953
370,0.5886615044646903
371,0.25804339921745173
372,0.1891340823809345
373,0.21112641754151068
374,0.27270495599118655
375,0.8261787241988612
