k,broker_count,ablation,seed,capacity_surcharge_mode,avg_cost_per_agent_eur,avg_cost_per_kwh_eur,load_concentration_hhi,broker_load_share_json,feeder_coefficient_of_variation,feeder_peak_to_average_ratio,feeder_mean_hourly_ramp_kwh,prosumer_self_sufficiency,total_capacity_charge_eur,capacity_fire_rate,mean_broker_surcharge_json,broker_load_share_gini,total_deferred_kwh,switching_rate,n_brokers,run_wallclock_sec,peak_rss_mb
0.5,2,capacity_disabled,20260704,synchronized,525.3522516978219,0.15323157954473368,0.5174918387107974,"{""regulated_utility"": 0.40648037983717705, ""volatile_low_cost"": 0.593519620162823}",0.6717422648172414,3.483237296521536,20.457377702948357,0.7262691241098145,0.0,0.0,"{""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.093519620162823,0.0,0.215,2,265.9780534999445,131.2265625
1.0,2,capacity_both,20260704,renormalized,614.8740412712167,0.17934864282489768,0.5159454681859555,"{""regulated_utility"": 0.41070983204754363, ""volatile_low_cost"": 0.5892901679524563}",0.6221917847959113,3.5235151826310687,24.39237075783013,0.72523125353808,4952.382889760002,0.191324200913242,"{""regulated_utility"": 0.0158546697097656, ""volatile_low_cost"": 0.022410170472882768}",0.08929016795245626,49905.65547347224,0.215,2,269.4044365999289,131.28125
0.5,3,capacity_disabled,20260704,synchronized,607.2554362318879,0.17712060694557066,0.35215607781811664,"{""premium_green"": 0.2213554411957249, ""regulated_utility"": 0.3919842329526817, ""volatile_low_cost"": 0.3866603258515934}",0.6717422648172414,3.483237296521536,20.457377702948357,0.7262691241098145,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.11375252783797118,0.0,0.0,3,270.99803490005434,131.46875
1.0,3,capacity_both,20260704,renormalized,697.9057170293431,0.2035676167271107,0.35216319884431546,"{""premium_green"": 0.22133204864261224, ""regulated_utility"": 0.39192567902053504, ""volatile_low_cost"": 0.38674227233685265}",0.6221917847959113,3.5235151826310687,24.39237075783013,0.72523125353808,4952.382889760002,0.191324200913242,"{""premium_green"": 0.012759520005889004, ""regulated_utility"": 0.022563741661858778, ""volatile_low_cost"": 0.022073998606224884}",0.11372908691861516,49905.65547347224,0.0,3,270.26642949995585,131.29296875
0.5,5,capacity_disabled,20260704,synchronized,619.900792978152,0.1766930337402199,0.3506838636177217,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.2269127865166559, ""regulated_utility"": 0.4000070963942006, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.37308011708914335}",0.6586822948791035,3.4623342964852646,20.372839203260632,0.70358049976187,0.0,0.0,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.0}",0.4692377239510179,0.0,0.0,5,278.48910700017586,131.65625
1.0,5,capacity_both,20260704,renormalized,771.8733127857346,0.22001003671086342,0.35067728429414374,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.22692583375859154, ""regulated_utility"": 0.399955671201934, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.3731184950394744}",0.609308354211674,3.4729979861926057,24.42745394650367,0.7021790044209613,5057.405029934397,0.18812785388127853,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.02141611136254878, ""regulated_utility"": 0.03777945102130022, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.034868364556790155}",0.46921193497733715,50160.40357942653,0.0,5,282.5088252001442,131.0546875
0.5,2,capacity_both,20260704,renormalized,663.5643704586874,0.1935707416009842,0.513839609877224,"{""regulated_utility"": 0.4168146350695509, ""volatile_low_cost"": 0.5831853649304491}",0.5581288184396193,3.4630823761128213,20.732933640789806,0.7244037181202551,9325.97242887147,0.30684931506849317,"{""regulated_utility"": 0.02591314208724025, ""volatile_low_cost"": 0.035433889876230036}",0.08318536493044926,79250.10351240351,0.22,2,268.1627877999563,130.58203125
0.5,2,capacity_both,20260704,synchronized,591.1081091340919,0.17243426583068172,0.5175301148929233,"{""regulated_utility"": 0.40637811448992467, ""volatile_low_cost"": 0.5936218855100753}",0.5581288184396193,3.4630823761128213,20.732933640789806,0.7244037181202551,9325.97242887147,0.30684931506849317,"{""regulated_utility"": 0.015336757990867157, ""volatile_low_cost"": 0.015336757990867157}",0.09362188551007522,79250.10351240351,0.215,2,267.63782929978333,131.49609375
0.5,2,capacity_disabled,20260720,synchronized,513.340156161073,0.14664385735800964,0.5488814206860851,"{""regulated_utility"": 0.3436647501583774, ""volatile_low_cost"": 0.6563352498416226}",0.6704522306341634,3.491882383069346,20.860543856464954,0.7356326062496783,0.0,0.0,"{""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.15633524984162261,0.0,0.25,2,345.85397959989496,131.40234375
0.5,2,capacity_disabled,20260713,synchronized,507.0112744389785,0.1489564924793276,0.5392228436571809,"{""regulated_utility"": 0.35995921369618605, ""volatile_low_cost"": 0.6400407863038139}",0.7030014848866677,3.5641307823946877,21.15827457910025,0.7496291091348916,0.0,0.0,"{""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.14004078630381378,0.0,0.265,2,388.6111135999672,131.8046875
