k,broker_count,ablation,seed,capacity_surcharge_mode,avg_cost_per_agent_eur,avg_cost_per_kwh_eur,load_concentration_hhi,broker_load_share_json,feeder_coefficient_of_variation,feeder_peak_to_average_ratio,feeder_mean_hourly_ramp_kwh,prosumer_self_sufficiency,total_capacity_charge_eur,capacity_fire_rate,mean_broker_surcharge_json,broker_load_share_gini,total_deferred_kwh,switching_rate,n_brokers,run_wallclock_sec,peak_rss_mb,capacity_surcharge_divisor
0.5,1,capacity_disabled,20260723,proportional,648.8425336085538,0.19395104095651441,1.0,"{""regulated_utility"": 1.0}",0.6783211981998275,3.5143418980403607,20.091029036592026,0.7371332950366212,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,419.2710277000442,131.68359375,2
0.5,1,capacity_disabled,20260721,proportional,686.1154254518344,0.19394855896200616,1.0,"{""regulated_utility"": 1.0}",0.6925304898209019,3.513015278705462,21.824437625743457,0.7354470959264663,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,449.0822711000219,131.36328125,2
0.5,1,capacity_disabled,20260724,proportional,679.6300335673556,0.19394072602261542,1.0,"{""regulated_utility"": 1.0}",0.6710528901894437,3.5093984311679414,20.82972173277505,0.7148516441301689,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,454.5565778000746,131.4296875,2
0.5,1,capacity_disabled,20260732,proportional,652.3306405664343,0.19403680781618537,1.0,"{""regulated_utility"": 1.0}",0.7012598137528931,3.5573654685474185,20.834091768275766,0.7453381572269361,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,396.507949200226,131.34375,2
0.5,1,capacity_disabled,20260731,proportional,652.0068958146171,0.19405374860474064,1.0,"{""regulated_utility"": 1.0}",0.713265116338798,3.5660077181653524,21.265008303295065,0.761307178877894,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,406.66298040002584,131.83203125,2
0.5,1,capacity_disabled,20260730,proportional,655.6679385922497,0.1940188527275584,1.0,"{""regulated_utility"": 1.0}",0.6905012097825561,3.548592757793601,20.7043457911759,0.7491895978785109,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,429.8039015000686,131.6640625,2
0.5,1,capacity_disabled,20260725,proportional,652.3594437779841,0.19395852139706285,1.0,"{""regulated_utility"": 1.0}",0.678499028300379,3.518260228730542,20.142500155604864,0.7282422788865685,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,490.69251389987767,131.36328125,2
0.5,1,capacity_disabled,20260728,proportional,674.815617215399,0.1939868060278293,1.0,"{""regulated_utility"": 1.0}",0.6844354692346359,3.532354158364963,21.04327830916544,0.7427266511253288,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,465.74835290014744,131.3828125,2
0.5,1,capacity_disabled,20260726,proportional,673.6160250655535,0.19395611972063767,1.0,"{""regulated_utility"": 1.0}",0.6765620303799845,3.5171639057969464,20.82926573103661,0.7365502245795399,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,476.84843050013296,131.67578125,2
0.5,1,capacity_disabled,20260727,proportional,685.8077840815557,0.19394984127599343,1.0,"{""regulated_utility"": 1.0}",0.6758675995518733,3.513799589481385,21.053422030120416,0.7220530746802711,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,476.70519320014864,131.48046875,2
