k,broker_count,ablation,metric,n_seeds_synthetic,n_seeds_opsd,mean_synthetic,mean_opsd,std_synthetic,std_opsd,delta_opsd_minus_synthetic
1.0,3,capacity_disabled,avg_cost_per_agent_eur,30,30,598.249374602719,538.1576705679671,18.210696996460843,17.109482951913133,-60.09170403475184
1.0,3,capacity_disabled,avg_cost_per_kwh_eur,30,30,0.17247585166233162,0.17156904613207805,0.0033374356051184963,0.003389766043447443,-0.0009068055302535738
1.0,3,capacity_disabled,load_concentration_hhi,30,30,0.3609783929667229,0.3611832749540537,0.012659560641420502,0.012807403700069135,0.0002048819873308183
1.0,3,capacity_disabled,feeder_coefficient_of_variation,30,30,0.6783863359958116,0.7873134502052699,0.01962484976915328,0.01881230548938162,0.10892711420945833
1.0,3,capacity_disabled,feeder_peak_to_average_ratio,30,30,3.5093832824282964,9.979284996931392,0.04923112580730762,0.11055749894633252,6.469901714503096
1.0,3,capacity_disabled,feeder_mean_hourly_ramp_kwh,30,30,20.84684822017532,33.61296973163364,0.4227064624621957,0.5895660024268767,12.76612151145832
1.0,3,capacity_disabled,prosumer_self_sufficiency,30,30,0.7302637130845901,0.7738273777402793,0.021663798666228636,0.021238745115041098,0.04356366465568917
1.0,3,capacity_disabled,total_capacity_charge_eur,30,30,0.0,0.0,0.0,0.0,0.0
1.0,3,capacity_disabled,capacity_fire_rate,30,30,0.0,0.0,0.0,0.0,0.0
1.0,3,capacity_disabled,total_deferred_kwh,30,30,0.0,0.0,0.0,0.0,0.0
1.0,3,capacity_disabled,switching_rate,30,30,0.005833333333333333,0.005833333333333333,0.006576254742388073,0.006576254742388073,0.0
1.0,3,capacity_pnl_only,avg_cost_per_agent_eur,30,30,598.249374602719,538.1576705679671,18.210696996460843,17.109482951913133,-60.09170403475184
1.0,3,capacity_pnl_only,avg_cost_per_kwh_eur,30,30,0.17247585166233162,0.17156904613207805,0.003337435605118495,0.003389766043447443,-0.0009068055302535738
1.0,3,capacity_pnl_only,load_concentration_hhi,30,30,0.360978392966723,0.3611832749540537,0.012659560641420507,0.012807403700069135,0.00020488198733070728
1.0,3,capacity_pnl_only,feeder_coefficient_of_variation,30,30,0.6783863359958116,0.7873134502052699,0.01962484976915328,0.01881230548938162,0.10892711420945833
1.0,3,capacity_pnl_only,feeder_peak_to_average_ratio,30,30,3.5093832824282973,9.979284996931392,0.04923112580730758,0.11055749894633252,6.469901714503095
1.0,3,capacity_pnl_only,feeder_mean_hourly_ramp_kwh,30,30,20.84684822017532,33.61296973163364,0.42270646246219545,0.5895660024268767,12.76612151145832
1.0,3,capacity_pnl_only,prosumer_self_sufficiency,30,30,0.7302637130845901,0.7738273777402793,0.021663798666228636,0.021238745115041098,0.04356366465568917
1.0,3,capacity_pnl_only,total_capacity_charge_eur,30,30,6612.172252038809,8836.92992577716,163.13355395883136,185.69576949092612,2224.7576737383506
1.0,3,capacity_pnl_only,capacity_fire_rate,30,30,0.17876331811263318,0.14165905631659056,0.0011793015866848368,0.0007125420403219132,-0.03710426179604262
1.0,3,capacity_pnl_only,total_deferred_kwh,30,30,0.0,0.0,0.0,0.0,0.0
1.0,3,capacity_pnl_only,switching_rate,30,30,0.005833333333333333,0.005833333333333333,0.006576254742388073,0.006576254742388073,0.0
1.0,3,capacity_pricing_only,avg_cost_per_agent_eur,30,30,633.9288731549743,560.7566678915917,18.559447551638574,17.4111916698377,-73.17220526338258
1.0,3,capacity_pricing_only,avg_cost_per_kwh_eur,30,30,0.18276937769702215,0.17877354210858193,0.003200228991599459,0.0032941202742555655,-0.003995835588440216
1.0,3,capacity_pricing_only,load_concentration_hhi,30,30,0.36100919656683317,0.3612028637339821,0.012674733340118082,0.01283022463323791,0.0001936671671489143
1.0,3,capacity_pricing_only,feeder_coefficient_of_variation,30,30,0.6294909524700021,0.7647258310433881,0.02092981063510313,0.018647970819337875,0.135234878573386
1.0,3,capacity_pricing_only,feeder_peak_to_average_ratio,30,30,3.16355845908772,8.447514398585458,0.0411921648664847,0.10980633738357844,5.283955939497738
1.0,3,capacity_pricing_only,feeder_mean_hourly_ramp_kwh,30,30,22.631270625376587,36.20490850577446,0.47767807014230007,0.6635976918270765,13.573637880397875
1.0,3,capacity_pricing_only,prosumer_self_sufficiency,30,30,0.7293018014202323,0.7741245650022522,0.02167731330471761,0.02123647299906646,0.044822763582019975
1.0,3,capacity_pricing_only,total_capacity_charge_eur,30,30,4823.90343970864,8502.485377269386,136.93798457076323,179.75046886715663,3678.581937560746
1.0,3,capacity_pricing_only,capacity_fire_rate,30,30,0.2030936073059361,0.14563546423135465,0.003019720952492961,0.0009111155240285106,-0.05745814307458144
1.0,3,capacity_pricing_only,total_deferred_kwh,30,30,38821.852828800955,25989.51152211962,1452.0613375656046,1039.9222372935312,-12832.341306681334
1.0,3,capacity_pricing_only,switching_rate,30,30,0.007,0.006,0.007263512971672535,0.006351757834348449,-0.001
1.0,3,capacity_both,avg_cost_per_agent_eur,30,30,633.9288731549743,560.7566678915917,18.559447551638574,17.4111916698377,-73.17220526338258
1.0,3,capacity_both,avg_cost_per_kwh_eur,30,30,0.18276937769702215,0.17877354210858193,0.0032002289915994573,0.0032941202742555655,-0.003995835588440216
1.0,3,capacity_both,load_concentration_hhi,30,30,0.36100919656683317,0.3612028637339821,0.012674733340118082,0.01283022463323791,0.0001936671671489143
1.0,3,capacity_both,feeder_coefficient_of_variation,30,30,0.6294909524700021,0.7647258310433881,0.02092981063510313,0.018647970819337875,0.135234878573386
1.0,3,capacity_both,feeder_peak_to_average_ratio,30,30,3.16355845908772,8.447514398585458,0.0411921648664847,0.10980633738357844,5.283955939497738
1.0,3,capacity_both,feeder_mean_hourly_ramp_kwh,30,30,22.631270625376587,36.20490850577446,0.47767807014230007,0.6635976918270765,13.573637880397875
1.0,3,capacity_both,prosumer_self_sufficiency,30,30,0.7293018014202323,0.7741245650022522,0.02167731330471761,0.02123647299906646,0.044822763582019975
1.0,3,capacity_both,total_capacity_charge_eur,30,30,4823.90343970864,8502.485377269386,136.93798457076323,179.75046886715663,3678.581937560746
1.0,3,capacity_both,capacity_fire_rate,30,30,0.2030936073059361,0.14563546423135465,0.003019720952492961,0.0009111155240285106,-0.05745814307458144
1.0,3,capacity_both,total_deferred_kwh,30,30,38821.852828800955,25989.51152211962,1452.0613375656048,1039.9222372935312,-12832.341306681334
1.0,3,capacity_both,switching_rate,30,30,0.007,0.006,0.007263512971672535,0.006351757834348449,-0.001
