block,k,broker_count,ablation,metric,metric_label,n_seeds,mean_disabled,mean_ablation,paired_mean_diff,paired_mean_pct_change,naive_pct_change_of_means,paired_dz,paired_p,cohens_d_independent,degenerate_paired_diff,max_abs_paired_diff,pnl_physical_leak,metric3_sign_convention,note
metric3_mechanism,1.0,2,capacity_both,feeder_coefficient_of_variation,Feeder coefficient of variation,30,0.6783863359958116,0.6285774745751301,-0.04980886142068129,-7.354911658512124,-7.34225599452359,-16.853950593434334,2.28274367840728e-37,-2.425665089928573,False,0.05496633097967507,,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
metric3_mechanism,1.0,3,capacity_pricing_only,feeder_peak_to_average_ratio,Feeder peak-to-average ratio,30,3.5093832824282964,3.16355845908772,-0.3458248233405768,-9.838330616963411,-9.854290498052556,-5.5833613814211365,1.2806412764261616e-23,-7.618970595925267,False,0.4683801852759659,,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
metric3_mechanism,1.0,3,capacity_both,feeder_peak_to_average_ratio,Feeder peak-to-average ratio,30,3.5093832824282964,3.16355845908772,-0.3458248233405768,-9.838330616963411,-9.854290498052556,-5.5833613814211365,1.2806412764261616e-23,-7.618970595925267,False,0.4683801852759659,,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
metric3_mechanism,1.0,3,capacity_pricing_only,feeder_coefficient_of_variation,Feeder coefficient of variation,30,0.6783863359958116,0.6294909524700021,-0.0488953835258095,-7.218444993219411,-7.207601470043665,-22.24639495148878,7.431718354126906e-41,-2.4100850176763924,False,0.052918317961446304,,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
metric3_mechanism,1.0,3,capacity_both,feeder_coefficient_of_variation,Feeder coefficient of variation,30,0.6783863359958116,0.6294909524700021,-0.0488953835258095,-7.218444993219411,-7.207601470043665,-22.24639495148878,7.431718354126906e-41,-2.4100850176763924,False,0.052918317961446304,,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
metric3_mechanism,1.0,5,capacity_pricing_only,feeder_peak_to_average_ratio,Feeder peak-to-average ratio,30,3.510274647429343,3.1587574821056847,-0.35151716532365884,-10.001254047437907,-10.01395049191044,-7.376178594847745,4.77610362698723e-27,-8.490102761586696,False,0.4455795818127579,,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
metric3_mechanism,1.0,5,capacity_both,feeder_peak_to_average_ratio,Feeder peak-to-average ratio,30,3.510274647429343,3.1587574821056847,-0.35151716532365884,-10.001254047437907,-10.01395049191044,-7.376178594847745,4.77610362698723e-27,-8.490102761586696,False,0.4455795818127579,,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
metric3_mechanism,1.0,5,capacity_pricing_only,feeder_coefficient_of_variation,Feeder coefficient of variation,30,0.6778785862268527,0.6294848705352604,-0.048393715691592204,-7.1485323746789176,-7.138994603879896,-25.12591387018377,2.1910500144425977e-42,-2.703029023705128,False,0.05290237971449174,,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
metric3_mechanism,1.0,5,capacity_both,feeder_coefficient_of_variation,Feeder coefficient of variation,30,0.6778785862268527,0.6294848705352604,-0.048393715691592204,-7.1485323746789176,-7.138994603879896,-25.12591387018377,2.1910500144425977e-42,-2.703029023705128,False,0.05290237971449174,,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
metric3_mechanism,1.5,2,capacity_pricing_only,feeder_peak_to_average_ratio,Feeder peak-to-average ratio,30,3.5093832824282973,3.5852325101700506,0.07584922774175287,2.169931609863904,2.1613264108692585,1.364070656224394,3.106948240442157e-08,1.4019098536706716,False,0.17430632935129609,,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
