k,broker_count,ablation,metric,metric_label,n_seeds,mean,std,ci95_lo,ci95_hi,ci95_halfwidth,vs_disabled_cohens_d_independent,vs_disabled_paired_dz,vs_disabled_paired_p,vs_disabled_paired_mean_diff,vs_disabled_paired_mean_pct_change,vs_disabled_degenerate_paired_diff,metric3_sign_convention,notes
0.5,2,capacity_pnl_only,prosumer_self_sufficiency,Prosumer self-sufficiency,30,0.7302637130845901,0.021663798666228636,0.7221743177171285,0.7383531084520518,0.008089395367461711,0.0,0.0,1.0,0.0,0.0,True,,"degenerate paired diff (sd(diff) < 1e-09, max abs diff 0.000e+00); d_z set to 0.0 and p set to 1.0 by convention, not computed from a zero-variance t-test"
0.5,2,capacity_pricing_only,prosumer_self_sufficiency,Prosumer self-sufficiency,30,0.7275342644869413,0.02165040126440339,0.7194498717915377,0.7356186571823448,0.008084392695403552,-0.12603019201349766,-5.945565494805789,2.1751713243200624e-24,-0.002729448597648894,-0.3740056625080148,False,,
0.5,2,capacity_both,prosumer_self_sufficiency,Prosumer self-sufficiency,30,0.7275342644869413,0.02165040126440339,0.7194498717915377,0.7356186571823448,0.008084392695403552,-0.12603019201349766,-5.945565494805789,2.1751713243200624e-24,-0.002729448597648894,-0.3740056625080148,False,,
0.5,3,capacity_disabled,avg_cost_per_agent_eur,Avg cost per agent (EUR/year),30,598.249374602719,18.210696996460843,591.4493885895981,605.0493606158398,6.799986013120776,,,,,,,,reference arm (capacity_disabled); vs_disabled_* not applicable
0.5,3,capacity_pnl_only,avg_cost_per_agent_eur,Avg cost per agent (EUR/year),30,598.249374602719,18.210696996460843,591.4493885895981,605.0493606158398,6.799986013120776,0.0,0.0,1.0,0.0,0.0,True,,"degenerate paired diff (sd(diff) < 1e-09, max abs diff 0.000e+00); d_z set to 0.0 and p set to 1.0 by convention, not computed from a zero-variance t-test"
0.5,3,capacity_pricing_only,avg_cost_per_agent_eur,Avg cost per agent (EUR/year),30,650.6888150572624,18.57090725265189,643.7543243239568,657.6233057905681,6.93449073330572,2.8512582334702037,30.476019900400406,8.173010884187792e-45,52.439440454543565,8.772015048965766,False,,
0.5,3,capacity_both,avg_cost_per_agent_eur,Avg cost per agent (EUR/year),30,650.6888150572624,18.57090725265189,643.7543243239568,657.6233057905681,6.93449073330572,2.8512582334702037,30.476019900400406,8.173010884187792e-45,52.439440454543565,8.772015048965766,False,,
0.5,3,capacity_disabled,load_concentration_hhi,Load concentration HHI,30,0.3609783929667229,0.012659560641420502,0.35625123533455516,0.36570555059889065,0.004727157632167723,,,,,,,,reference arm (capacity_disabled); vs_disabled_* not applicable
0.5,3,capacity_pnl_only,load_concentration_hhi,Load concentration HHI,30,0.3609783929667229,0.012659560641420502,0.35625123533455516,0.36570555059889065,0.004727157632167723,0.0,0.0,1.0,0.0,0.0,True,,"degenerate paired diff (sd(diff) < 1e-09, max abs diff 0.000e+00); d_z set to 0.0 and p set to 1.0 by convention, not computed from a zero-variance t-test"
0.5,3,capacity_pricing_only,load_concentration_hhi,Load concentration HHI,30,0.3608205614015353,0.012546142969795887,0.356135754623969,0.36550536817910156,0.004684806777566277,-0.012523353430396723,-0.23878312199633261,0.2011909223777597,-0.0001578315651876457,-0.04254073396098048,False,,
0.5,3,capacity_both,load_concentration_hhi,Load concentration HHI,30,0.3608205614015353,0.012546142969795887,0.356135754623969,0.36550536817910156,0.004684806777566277,-0.012523353430396723,-0.23878312199633261,0.2011909223777597,-0.0001578315651876457,-0.04254073396098048,False,,
0.5,3,capacity_disabled,feeder_peak_to_average_ratio,Feeder peak-to-average ratio,30,3.5093832824282964,0.04923112580730762,3.4910000779323376,3.5277664869242553,0.01838320449595873,,,,,,,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,reference arm (capacity_disabled); vs_disabled_* not applicable
0.5,3,capacity_pnl_only,feeder_peak_to_average_ratio,Feeder peak-to-average ratio,30,3.5093832824282964,0.04923112580730762,3.4910000779323376,3.5277664869242553,0.01838320449595873,0.0,0.0,1.0,0.0,0.0,True,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"degenerate paired diff (sd(diff) < 1e-09, max abs diff 0.000e+00); d_z set to 0.0 and p set to 1.0 by convention, not computed from a zero-variance t-test"
0.5,3,capacity_pricing_only,feeder_peak_to_average_ratio,Feeder peak-to-average ratio,30,3.175106714639815,0.07462956616245749,3.1472395766511587,3.202973852628471,0.027867137988656268,-5.287599228964445,-4.0194396628735065,1.1982521297879412e-19,-0.33427656778848225,-9.512350011519954,False,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
0.5,3,capacity_both,feeder_peak_to_average_ratio,Feeder peak-to-average ratio,30,3.175106714639815,0.07462956616245749,3.1472395766511587,3.202973852628471,0.027867137988656268,-5.287599228964445,-4.0194396628735065,1.1982521297879412e-19,-0.33427656778848225,-9.512350011519954,False,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
0.5,3,capacity_disabled,feeder_coefficient_of_variation,Feeder coefficient of variation,30,0.6783863359958116,0.01962484976915328,0.6710582966590539,0.6857143753325692,0.007328039336757615,,,,,,,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,reference arm (capacity_disabled); vs_disabled_* not applicable
0.5,3,capacity_pnl_only,feeder_coefficient_of_variation,Feeder coefficient of variation,30,0.6783863359958116,0.01962484976915328,0.6710582966590539,0.6857143753325692,0.007328039336757615,0.0,0.0,1.0,0.0,0.0,True,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"degenerate paired diff (sd(diff) < 1e-09, max abs diff 0.000e+00); d_z set to 0.0 and p set to 1.0 by convention, not computed from a zero-variance t-test"
0.5,3,capacity_pricing_only,feeder_coefficient_of_variation,Feeder coefficient of variation,30,0.577963691739891,0.020379976755662468,0.5703536833523393,0.5855737001274428,0.007610008387551796,-5.01963225384931,-35.72345087653066,8.189313387962926e-47,-0.10042264425592046,-14.81744883810366,False,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
0.5,3,capacity_both,feeder_coefficient_of_variation,Feeder coefficient of variation,30,0.577963691739891,0.020379976755662468,0.5703536833523393,0.5855737001274428,0.007610008387551796,-5.01963225384931,-35.72345087653066,8.189313387962926e-47,-0.10042264425592046,-14.81744883810366,False,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
0.5,3,capacity_disabled,prosumer_self_sufficiency,Prosumer self-sufficiency,30,0.7302637130845901,0.021663798666228636,0.7221743177171285,0.7383531084520518,0.008089395367461711,,,,,,,,reference arm (capacity_disabled); vs_disabled_* not applicable
0.5,3,capacity_pnl_only,prosumer_self_sufficiency,Prosumer self-sufficiency,30,0.7302637130845901,0.021663798666228636,0.7221743177171285,0.7383531084520518,0.008089395367461711,0.0,0.0,1.0,0.0,0.0,True,,"degenerate paired diff (sd(diff) < 1e-09, max abs diff 0.000e+00); d_z set to 0.0 and p set to 1.0 by convention, not computed from a zero-variance t-test"
0.5,3,capacity_pricing_only,prosumer_self_sufficiency,Prosumer self-sufficiency,30,0.7276348247647404,0.02170247275219695,0.7195309882562446,0.7357386612732362,0.008103836508495792,-0.12124110228872532,-6.69787276555998,7.437340424456272e-26,-0.002628888319849898,-0.36043490189887184,False,,
0.5,3,capacity_both,prosumer_self_sufficiency,Prosumer self-sufficiency,30,0.7276348247647404,0.02170247275219695,0.7195309882562446,0.7357386612732362,0.008103836508495792,-0.12124110228872532,-6.69787276555998,7.437340424456272e-26,-0.002628888319849898,-0.36043490189887184,False,,
0.5,5,capacity_disabled,avg_cost_per_agent_eur,Avg cost per agent (EUR/year),30,599.7629049980286,16.277076106472762,593.684944891393,605.8408651046642,6.077960106635568,,,,,,,,reference arm (capacity_disabled); vs_disabled_* not applicable
0.5,5,capacity_pnl_only,avg_cost_per_agent_eur,Avg cost per agent (EUR/year),30,599.7629049980286,16.277076106472762,593.684944891393,605.8408651046642,6.077960106635568,0.0,0.0,1.0,0.0,0.0,True,,"degenerate paired diff (sd(diff) < 1e-09, max abs diff 0.000e+00); d_z set to 0.0 and p set to 1.0 by convention, not computed from a zero-variance t-test"
0.5,5,capacity_pricing_only,avg_cost_per_agent_eur,Avg cost per agent (EUR/year),30,651.2725262769005,17.08669549775818,644.8922493211206,657.6528032326804,6.3802769557799,3.086848970501863,29.82384446155548,1.5294877533780611e-44,51.509621278872025,8.591176696961542,False,,
0.5,5,capacity_both,avg_cost_per_agent_eur,Avg cost per agent (EUR/year),30,651.2725262769005,17.08669549775818,644.8922493211206,657.6528032326804,6.3802769557799,3.086848970501863,29.82384446155548,1.5294877533780611e-44,51.509621278872025,8.591176696961542,False,,
0.5,5,capacity_disabled,load_concentration_hhi,Load concentration HHI,30,0.35512232436779534,0.009671336855581926,0.35151098783526624,0.35873366090032444,0.003611336532529076,,,,,,,,reference arm (capacity_disabled); vs_disabled_* not applicable
0.5,5,capacity_pnl_only,load_concentration_hhi,Load concentration HHI,30,0.35512232436779534,0.009671336855581926,0.35151098783526624,0.35873366090032444,0.003611336532529076,0.0,0.0,1.0,0.0,0.0,True,,"degenerate paired diff (sd(diff) < 1e-09, max abs diff 0.000e+00); d_z set to 0.0 and p set to 1.0 by convention, not computed from a zero-variance t-test"
0.5,5,capacity_pricing_only,load_concentration_hhi,Load concentration HHI,30,0.35413104958463776,0.00975675030147385,0.35048781914725097,0.35777428002202455,0.0036432304373867764,-0.10204454977812784,-0.6706360393108354,0.0009638776949149946,-0.0009912747831575068,-0.27930335714014265,False,,
