family_definition,family_key,family_size,n_families_in_definition,scope,source,k,broker_count,ablation,metric,test_id,is_headline_72,degenerate,p_uncorrected,p_holm,p_bh,survives_holm_alpha05,survives_bh_alpha05,alpha,n_headline_tests,n_headline_surviving_holm,n_headline_surviving_bh,worst_headline_p_uncorrected,worst_headline_p_holm,worst_headline_p_bh,bonferroni_alpha_over_family_size,notes
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,3.0,capacity_both,feeder_peak_to_average_ratio,main|k=0.5|bc=3|capacity_both|feeder_peak_to_average_ratio,True,False,1.1982521297879412e-19,4.5533580931941766e-18,1.711788756839916e-19,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,3.0,capacity_both,load_concentration_hhi,main|k=0.5|bc=3|capacity_both|load_concentration_hhi,False,False,0.2011909223777597,1.0,0.21556170254759968,False,False,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,3.0,capacity_both,prosumer_self_sufficiency,main|k=0.5|bc=3|capacity_both|prosumer_self_sufficiency,False,False,7.437340424456272e-26,4.6111510631628884e-24,1.4874680848912544e-25,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,3.0,capacity_pricing_only,avg_cost_per_agent_eur,main|k=0.5|bc=3|capacity_pricing_only|avg_cost_per_agent_eur,True,False,8.173010884187792e-45,9.153772190290327e-43,9.80761306102535e-44,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,3.0,capacity_pricing_only,feeder_coefficient_of_variation,main|k=0.5|bc=3|capacity_pricing_only|feeder_coefficient_of_variation,True,False,8.189313387962926e-47,9.499603530036993e-45,1.6378626775925852e-45,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,3.0,capacity_pricing_only,feeder_peak_to_average_ratio,main|k=0.5|bc=3|capacity_pricing_only|feeder_peak_to_average_ratio,True,False,1.1982521297879412e-19,4.5533580931941766e-18,1.711788756839916e-19,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,3.0,capacity_pricing_only,load_concentration_hhi,main|k=0.5|bc=3|capacity_pricing_only|load_concentration_hhi,False,False,0.2011909223777597,1.0,0.21556170254759968,False,False,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,3.0,capacity_pricing_only,prosumer_self_sufficiency,main|k=0.5|bc=3|capacity_pricing_only|prosumer_self_sufficiency,False,False,7.437340424456272e-26,4.6111510631628884e-24,1.4874680848912544e-25,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,5.0,capacity_both,avg_cost_per_agent_eur,main|k=0.5|bc=5|capacity_both|avg_cost_per_agent_eur,True,False,1.5294877533780614e-44,1.6824365287158677e-42,1.5294877533780614e-43,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,5.0,capacity_both,feeder_coefficient_of_variation,main|k=0.5|bc=5|capacity_both|feeder_coefficient_of_variation,True,False,1.454083274563217e-47,1.715818263984596e-45,4.362249823689651e-46,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,5.0,capacity_both,feeder_peak_to_average_ratio,main|k=0.5|bc=5|capacity_both|feeder_peak_to_average_ratio,True,False,4.9522676691091774e-27,3.1694513082298735e-25,1.024607103953623e-26,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,5.0,capacity_both,load_concentration_hhi,main|k=0.5|bc=5|capacity_both|load_concentration_hhi,False,False,0.0009638776949149,0.0154220431186384,0.0010911822961300753,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,5.0,capacity_both,prosumer_self_sufficiency,main|k=0.5|bc=5|capacity_both|prosumer_self_sufficiency,False,False,4.647446886203377e-25,2.5096213185498237e-23,8.20137685800596e-25,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,5.0,capacity_pricing_only,avg_cost_per_agent_eur,main|k=0.5|bc=5|capacity_pricing_only|avg_cost_per_agent_eur,True,False,1.5294877533780614e-44,1.6824365287158677e-42,1.5294877533780614e-43,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,5.0,capacity_pricing_only,feeder_coefficient_of_variation,main|k=0.5|bc=5|capacity_pricing_only|feeder_coefficient_of_variation,True,False,1.454083274563217e-47,1.715818263984596e-45,4.362249823689651e-46,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,5.0,capacity_pricing_only,feeder_peak_to_average_ratio,main|k=0.5|bc=5|capacity_pricing_only|feeder_peak_to_average_ratio,True,False,4.9522676691091774e-27,3.1694513082298735e-25,1.024607103953623e-26,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,5.0,capacity_pricing_only,load_concentration_hhi,main|k=0.5|bc=5|capacity_pricing_only|load_concentration_hhi,False,False,0.0009638776949149,0.0154220431186384,0.0010911822961300753,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,5.0,capacity_pricing_only,prosumer_self_sufficiency,main|k=0.5|bc=5|capacity_pricing_only|prosumer_self_sufficiency,False,False,4.647446886203377e-25,2.5096213185498237e-23,8.20137685800596e-25,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
