scope,deferrable_fraction,response_reference_eur_per_kwh,payback_cap_fraction,coefficient,coefficient_level,metric,metric_label,n_seeds,mean_disabled,mean_both,paired_mean_diff,paired_mean_pct_change,naive_pct_change_of_means,paired_dz,cohens_d_independent,p_uncorrected,p_holm,p_bh,survives_holm_alpha05,survives_bh_alpha05,ci95_t_lo,ci95_t_hi,ci95_boot_lo,ci95_boot_hi,ci_disagreement_flag,ci_disagreement_detail,ci_width_ratio,degenerate,correction_family,correction_family_size,is_flagged_d9_corner,worsened_vs_disabled,is_shipped_axis_level,min_pct_change_across_levels,max_pct_change_across_levels,sign_consistent_across_marginal_levels,significant_at_every_level_holm,cell_level_sign_consistent_within_every_level,levels_with_within_level_cell_sign_disagreement,verdict,bootstrap_seed,n_bootstrap,alpha,metric3_sign_convention,notes
cell_full_factorial,0.05,0.025,1.0,,,feeder_peak_to_average_ratio,Feeder peak-to-average ratio,30.0,3.5093832824282973,3.3393224255632323,-0.17006085686506486,-4.845553683810503,-4.845890094609227,-38.48342560519072,-3.5669895825133744,9.475370084616274e-48,7.58029606769302e-46,4.787555411176103e-47,True,True,-0.17171096380271728,-0.16841074992741245,-0.17165824584322092,-0.168538560224865,False,,1.057867451735098,False,cell_full_factorial_primary,96.0,False,False,False,,,,,,,,20260704.0,10000.0,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
cell_full_factorial,0.05,0.1,0.25,,,feeder_coefficient_of_variation,Feeder coefficient of variation,30.0,0.6783863359958116,0.6692838436804475,-0.009102492315364108,-1.343342054981304,-1.3417859164280521,-28.561600687667653,-0.46244571327609757,5.353030811147653e-44,2.1412123244590613e-42,8.860188928796116e-44,True,True,-0.009221495676818497,-0.00898348895390972,-0.009216826489570938,-0.008988634620386585,False,,1.043011408598848,False,cell_full_factorial_primary,96.0,False,False,False,,,,,,,,20260704.0,10000.0,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
cell_full_factorial,0.05,0.1,0.25,,,feeder_peak_to_average_ratio,Feeder peak-to-average ratio,30.0,3.5093832824282973,3.446498822640441,-0.06288445978785603,-1.79200832962406,-1.7918948922656188,-30.09095535639103,-1.2844033984996668,1.181312425043769e-44,6.969743307758237e-43,2.637348669866021e-44,True,True,-0.06366480866390181,-0.062104110911810256,-0.06364657430586154,-0.062177425842062276,False,,1.0623145247387318,False,cell_full_factorial_primary,96.0,False,False,False,,,,,,,,20260704.0,10000.0,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
cell_full_factorial,0.05,0.1,0.5,,,feeder_coefficient_of_variation,Feeder coefficient of variation,30.0,0.6783863359958116,0.6693591750531233,-0.009027160942688168,-1.3322205945814718,-1.3306814220302972,-29.84075140489714,-0.4586440350708733,1.50458164313211e-44,7.522908215660549e-43,2.888796754813651e-44,True,True,-0.009140120474027236,-0.0089142014113491,-0.009136549673841242,-0.008921997683749018,False,,1.052980504077474,False,cell_full_factorial_primary,96.0,False,False,False,,,,,,,,20260704.0,10000.0,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
cell_full_factorial,0.05,0.1,0.5,,,feeder_peak_to_average_ratio,Feeder peak-to-average ratio,30.0,3.5093832824282973,3.446498822640441,-0.06288445978785608,-1.7920083296240605,-1.7918948922656188,-30.0909553563907,-1.2844033984996668,1.181312425044155e-44,6.969743307758237e-43,2.637348669866021e-44,True,True,-0.06366480866390187,-0.06210411091181029,-0.06367300705326177,-0.06219217503498779,False,,1.0539330138949081,False,cell_full_factorial_primary,96.0,False,False,False,,,,,,,,20260704.0,10000.0,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
cell_full_factorial,0.05,0.1,1.0,,,feeder_coefficient_of_variation,Feeder coefficient of variation,30.0,0.6783863359958116,0.6693591750531233,-0.009027160942688168,-1.3322205945814718,-1.3306814220302972,-29.84075140489714,-0.4586440350708733,1.50458164313211e-44,7.522908215660549e-43,2.888796754813651e-44,True,True,-0.009140120474027236,-0.0089142014113491,-0.009134408297544704,-0.008921579007441944,False,,1.0615036237214068,False,cell_full_factorial_primary,96.0,False,False,False,,,,,,,,20260704.0,10000.0,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
cell_full_factorial,0.05,0.1,1.0,,,feeder_peak_to_average_ratio,Feeder peak-to-average ratio,30.0,3.5093832824282973,3.446498822640441,-0.06288445978785608,-1.7920083296240605,-1.7918948922656188,-30.0909553563907,-1.2844033984996668,1.181312425044155e-44,6.969743307758237e-43,2.637348669866021e-44,True,True,-0.06366480866390187,-0.06210411091181029,-0.06366625426532904,-0.062179300266543974,False,,1.0495938363707027,False,cell_full_factorial_primary,96.0,False,False,False,,,,,,,,20260704.0,10000.0,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
cell_full_factorial,0.05,0.2,0.25,,,feeder_coefficient_of_variation,Feeder coefficient of variation,30.0,0.6783863359958116,0.6736792703364896,-0.004707065659321974,-0.6946924797956768,-0.6938620973862095,-28.307809096367922,-0.23944957206855236,6.93237576755295e-44,2.634302791670121e-42,1.0909968421066936e-43,True,True,-0.004769156201099,-0.004644975117544947,-0.004765172488137672,-0.004649720919889586,False,,1.0756119248827323,False,cell_full_factorial_primary,96.0,False,False,False,,,,,,,,20260704.0,10000.0,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
cell_full_factorial,0.05,0.2,0.25,,,feeder_peak_to_average_ratio,Feeder peak-to-average ratio,30.0,3.5093832824282973,3.477927332636552,-0.03145594979174507,-0.8963953283273189,-0.896338395103419,-29.967712757822976,-0.64077523626669,1.330455027629874e-44,7.051411646438332e-43,2.7766017967927804e-44,True,True,-0.031847899780878826,-0.031063999802611313,-0.03184584385641035,-0.0311054826855797,False,,1.058807524154751,False,cell_full_factorial_primary,96.0,False,False,False,,,,,,,,20260704.0,10000.0,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
cell_full_factorial,0.05,0.2,0.5,,,feeder_coefficient_of_variation,Feeder coefficient of variation,30.0,0.6783863359958116,0.6736792703364896,-0.004707065659321974,-0.6946924797956768,-0.6938620973862095,-28.307809096367922,-0.23944957206855236,6.93237576755295e-44,2.634302791670121e-42,1.0909968421066936e-43,True,True,-0.004769156201099,-0.004644975117544947,-0.0047666395156178145,-0.004649071621400481,False,,1.056249959912481,False,cell_full_factorial_primary,96.0,False,False,False,,,,,,,,20260704.0,10000.0,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
cell_full_factorial,0.05,0.2,0.5,,,feeder_peak_to_average_ratio,Feeder peak-to-average ratio,30.0,3.5093832824282973,3.477927332636552,-0.03145594979174507,-0.8963953283273189,-0.896338395103419,-29.967712757822976,-0.64077523626669,1.330455027629874e-44,7.051411646438332e-43,2.7766017967927804e-44,True,True,-0.031847899780878826,-0.031063999802611313,-0.0318402056822382,-0.031102700007848552,False,,1.0629070466695203,False,cell_full_factorial_primary,96.0,False,False,False,,,,,,,,20260704.0,10000.0,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
cell_full_factorial,0.05,0.2,1.0,,,feeder_coefficient_of_variation,Feeder coefficient of variation,30.0,0.6783863359958116,0.6736792703364896,-0.004707065659321974,-0.6946924797956768,-0.6938620973862095,-28.307809096367922,-0.23944957206855236,6.93237576755295e-44,2.634302791670121e-42,1.0909968421066936e-43,True,True,-0.004769156201099,-0.004644975117544947,-0.004766109817218533,-0.004648495938654619,False,,1.055836990245768,False,cell_full_factorial_primary,96.0,False,False,False,,,,,,,,20260704.0,10000.0,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
cell_full_factorial,0.05,0.2,1.0,,,feeder_peak_to_average_ratio,Feeder peak-to-average ratio,30.0,3.5093832824282973,3.477927332636552,-0.03145594979174507,-0.8963953283273189,-0.896338395103419,-29.967712757822976,-0.64077523626669,1.330455027629874e-44,7.051411646438332e-43,2.7766017967927804e-44,True,True,-0.031847899780878826,-0.031063999802611313,-0.031838519578030064,-0.031103909497288584,False,,1.0670966800187152,False,cell_full_factorial_primary,96.0,False,False,False,,,,,,,,20260704.0,10000.0,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
cell_full_factorial,0.1,0.0125,0.25,,,feeder_coefficient_of_variation,Feeder coefficient of variation,30.0,0.6783863359958116,0.6292616068864957,-0.04912472910931595,-7.250615645806018,-7.24140898816971,-51.26344620845922,-2.4515167250458823,2.3272510789600357e-51,2.0014359279056306e-49,1.9137913249878272e-50,True,True,-0.04948255669744581,-0.04876690152118609,-0.04946202601496644,-0.04879529191288993,False,,1.0733741892470376,False,cell_full_factorial_primary,96.0,False,False,False,,,,,,,,20260704.0,10000.0,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
cell_full_factorial,0.1,0.0125,0.25,,,feeder_peak_to_average_ratio,Feeder peak-to-average ratio,30.0,3.5093832824282973,3.1859992890491733,-0.3233839933791233,-9.207406081182,-9.214838259426607,-8.75385447916073,-7.352336692493932,3.5754799676026343e-29,6.078315944924478e-28,4.2905759611231606e-29,True,True,-0.3371783245442768,-0.30958966221396983,-0.3358388110612465,-0.30978805060450654,False,,1.0590348168960693,False,cell_full_factorial_primary,96.0,False,False,False,,,,,,,,20260704.0,10000.0,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
cell_full_factorial,0.1,0.0125,0.5,,,feeder_coefficient_of_variation,Feeder coefficient of variation,30.0,0.6783863359958116,0.6435840501462448,-0.03480228584956671,-5.137112186879891,-5.130157257439464,-40.938870965597964,-1.7426399983332077,1.577817482979522e-48,1.293810336043208e-46,1.0098031891068942e-47,True,True,-0.03511971978955881,-0.034484851909574614,-0.03509179069978793,-0.034506214320274904,False,,1.0841760395324742,False,cell_full_factorial_primary,96.0,False,False,False,,,,,,,,20260704.0,10000.0,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
cell_full_factorial,0.1,0.0125,0.5,,,feeder_peak_to_average_ratio,Feeder peak-to-average ratio,30.0,3.5093832824282973,3.1856147763663016,-0.32376850606199564,-9.218472263640281,-9.225794961842013,-8.739043774055459,-7.32784192206043,3.7532166575445527e-29,6.078315944924478e-28,4.3940097454180127e-29,True,True,-0.33760264514841054,-0.30993436697558074,-0.3361372840113215,-0.3100602443351815,False,,1.0610206724556142,False,cell_full_factorial_primary,96.0,False,False,False,,,,,,,,20260704.0,10000.0,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
cell_full_factorial,0.1,0.0125,1.0,,,feeder_coefficient_of_variation,Feeder coefficient of variation,30.0,0.6783863359958116,0.649131268770231,-0.029255067225580487,-4.318389559218298,-4.312449363036876,-35.052004338756156,-1.4678043446935698,1.4192045026308859e-46,1.0644033769731644e-44,6.192892375116593e-46,True,True,-0.02956671906516514,-0.028943415385995836,-0.029540966930900994,-0.02895793590067686,False,,1.0690746235748163,False,cell_full_factorial_primary,96.0,False,False,False,,,,,,,,20260704.0,10000.0,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
cell_full_factorial,0.1,0.0125,1.0,,,feeder_peak_to_average_ratio,Feeder peak-to-average ratio,30.0,3.5093832824282973,3.1856149180852564,-0.32376836434304074,-9.218468272681188,-9.225790923555413,-8.73906657096262,-7.32783505901553,3.752936171388897e-29,6.078315944924478e-28,4.3940097454180127e-29,True,True,-0.33760246128601745,-0.309934267400064,-0.3364121745565239,-0.3100648510671319,False,,1.0501330010652974,False,cell_full_factorial_primary,96.0,False,False,False,,,,,,,,20260704.0,10000.0,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
cell_full_factorial,0.1,0.025,0.25,,,feeder_coefficient_of_variation,Feeder coefficient of variation,30.0,0.6783863359958116,0.6307665939243281,-0.0476197420714835,-7.028059573972587,-7.019560911642163,-42.62110592534008,-2.3832674374260665,4.910795612665398e-49,4.125068314638934e-47,3.626433683199063e-48,True,True,-0.04803694156770206,-0.04720254257526494,-0.048008820158658164,-0.047212800543682314,False,,1.0482141102294735,False,cell_full_factorial_primary,96.0,False,False,False,,,,,,,,20260704.0,10000.0,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
cell_full_factorial,0.1,0.025,0.25,,,feeder_peak_to_average_ratio,Feeder peak-to-average ratio,30.0,3.5093832824282973,3.1903529092271934,-0.3190303732011041,-9.084278673846635,-9.090781699408813,-9.411846058388956,-7.228834267613289,4.4750500980730156e-30,9.395477590297748e-29,5.5077539668590956e-30,True,True,-0.33168760308209416,-0.30637314332011406,-0.3305838920163342,-0.30703781847232786,False,,1.0751032317413238,False,cell_full_factorial_primary,96.0,False,False,False,,,,,,,,20260704.0,10000.0,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
cell_full_factorial,0.1,0.025,0.5,,,feeder_coefficient_of_variation,Feeder coefficient of variation,30.0,0.6783863359958116,0.6442308151630786,-0.03415552083273288,-5.0415364002006005,-5.0348185127572895,-41.622772004510175,-1.71191890441576,9.7614027462116e-49,8.101964279355628e-47,6.693533311687956e-48,True,True,-0.034461936779314466,-0.03384910488615129,-0.034438180552825146,-0.0338592350296375,False,,1.0585311892368674,False,cell_full_factorial_primary,96.0,False,False,False,,,,,,,,20260704.0,10000.0,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
