scope,k,broker_count,ablation,metric,metric_label,n_seeds,paired_mean_diff,paired_mean_pct_change,paired_dz,p_uncorrected,p_holm,p_bh,survives_holm_alpha05,survives_bh_alpha05,ci95_t_lo,ci95_t_hi,ci95_boot_lo,ci95_boot_hi,ci_disagreement_flag,ci_disagreement_detail,ci_width_ratio,degenerate,correction_family,correction_family_size,family_size_primary,family_size_alternative,family_size_monopoly_secondary,bootstrap_seed,n_bootstrap,alpha,metric3_sign_convention,notes
main_sweep,0.5,3,capacity_pricing_only,feeder_coefficient_of_variation,Feeder coefficient of variation,30,-0.10042264425592046,-14.81744883810366,-35.72345087653066,8.189313387962926e-47,9.499603530036993e-45,1.6378626775925852e-45,True,True,-0.10147233096631807,-0.09937295754552285,-0.10139019688846292,-0.0994352746221142,False,,1.0738909965541994,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
main_sweep,0.5,3,capacity_pricing_only,prosumer_self_sufficiency,Prosumer self-sufficiency,30,-0.002628888319849898,-0.36043490189887184,-6.69787276555998,7.437340424456272e-26,4.6111510631628884e-24,1.4874680848912544e-25,True,True,-0.002775448737738274,-0.0024823279019615223,-0.002768391152494376,-0.0024919461063619697,False,,1.060322258899725,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
main_sweep,0.5,3,capacity_both,avg_cost_per_agent_eur,Avg cost per agent (EUR/year),30,52.439440454543565,8.772015048965766,30.476019900400406,8.173010884187792e-45,9.153772190290327e-43,9.807613061025352e-44,True,True,51.79692844221776,53.08195246686937,51.845513001178766,53.063381423474056,False,,1.0551419193789005,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
main_sweep,0.5,3,capacity_both,load_concentration_hhi,Load concentration HHI,30,-0.0001578315651876457,-0.04254073396098048,-0.23878312199633261,0.2011909223777597,1.0,0.2155617025475997,False,False,-0.00040464664375131467,8.898351337602328e-05,-0.0004291129494584322,1.6015236336146676e-05,False,,1.1089618066898645,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
main_sweep,0.5,3,capacity_both,feeder_peak_to_average_ratio,Feeder peak-to-average ratio,30,-0.33427656778848225,-9.512350011519954,-4.0194396628735065,1.1982521297879412e-19,4.5533580931941766e-18,1.711788756839916e-19,True,True,-0.3653308769101222,-0.30322225866684227,-0.3616771077877502,-0.30302740674456924,False,,1.0589758709520507,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
main_sweep,0.5,3,capacity_both,feeder_coefficient_of_variation,Feeder coefficient of variation,30,-0.10042264425592046,-14.81744883810366,-35.72345087653066,8.189313387962926e-47,9.499603530036993e-45,1.6378626775925852e-45,True,True,-0.10147233096631807,-0.09937295754552285,-0.10139759329229131,-0.09943255098718055,False,,1.068360419180335,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
main_sweep,0.5,3,capacity_both,prosumer_self_sufficiency,Prosumer self-sufficiency,30,-0.002628888319849898,-0.36043490189887184,-6.69787276555998,7.437340424456272e-26,4.6111510631628884e-24,1.4874680848912544e-25,True,True,-0.002775448737738274,-0.0024823279019615223,-0.002771128968207986,-0.0024912698121297124,False,,1.0473869780939702,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
main_sweep,0.5,5,capacity_pricing_only,avg_cost_per_agent_eur,Avg cost per agent (EUR/year),30,51.509621278872025,8.591176696961542,29.82384446155548,1.5294877533780611e-44,1.6824365287158673e-42,1.5294877533780612e-43,True,True,50.86470077868601,52.15454177905804,50.899738819653386,52.10320350074061,False,,1.0717730404907073,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
main_sweep,0.5,5,capacity_pricing_only,load_concentration_hhi,Load concentration HHI,30,-0.0009912747831575068,-0.27930335714014265,-0.6706360393108354,0.0009638776949149946,0.015422043118639914,0.0010911822961301824,True,True,-0.0015432106552960554,-0.00043933891101895835,-0.0015327373238014882,-0.0004976516077598918,False,,1.0664544270773575,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
main_sweep,0.5,5,capacity_pricing_only,feeder_peak_to_average_ratio,Feeder peak-to-average ratio,30,-0.35106034039538764,-9.988238621330645,-7.3668133036549515,4.9522676691091774e-27,3.1694513082298735e-25,1.024607103953623e-26,True,True,-0.3688547489235619,-0.33326593186721337,-0.3679447224717843,-0.33424119824171195,False,,1.055937557550555,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
main_sweep,0.5,5,capacity_pricing_only,feeder_coefficient_of_variation,Feeder coefficient of variation,30,-0.09918211834309014,-14.644902856273198,-37.91892853877188,1.454083274563217e-47,1.715818263984596e-45,4.362249823689651e-46,True,True,-0.10015881291419622,-0.09820542377198406,-0.10016693202345482,-0.09832092223503695,False,,1.058168355589447,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
main_sweep,0.5,5,capacity_pricing_only,prosumer_self_sufficiency,Prosumer self-sufficiency,30,-0.0026771184701555187,-0.36751181826836526,-6.278924186274975,4.647446886203378e-25,2.5096213185498243e-23,8.201376858005962e-25,True,True,-0.002836326072593155,-0.0025179108677178823,-0.002824425937957079,-0.0025289214534763016,False,,1.077530872110964,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
main_sweep,0.5,5,capacity_both,avg_cost_per_agent_eur,Avg cost per agent (EUR/year),30,51.509621278872025,8.591176696961542,29.82384446155548,1.5294877533780611e-44,1.6824365287158673e-42,1.5294877533780612e-43,True,True,50.86470077868601,52.15454177905804,50.897059236295846,52.105270367616406,False,,1.0675625864845784,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
main_sweep,0.5,5,capacity_both,load_concentration_hhi,Load concentration HHI,30,-0.0009912747831575068,-0.27930335714014265,-0.6706360393108354,0.0009638776949149946,0.015422043118639914,0.0010911822961301824,True,True,-0.0015432106552960554,-0.00043933891101895835,-0.0015298303737013188,-0.0005032172243275046,False,,1.0752558010292457,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
main_sweep,0.5,5,capacity_both,feeder_peak_to_average_ratio,Feeder peak-to-average ratio,30,-0.35106034039538764,-9.988238621330645,-7.3668133036549515,4.9522676691091774e-27,3.1694513082298735e-25,1.024607103953623e-26,True,True,-0.3688547489235619,-0.33326593186721337,-0.3676107281279721,-0.33406538917479006,False,,1.0609169013322097,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
main_sweep,0.5,5,capacity_both,feeder_coefficient_of_variation,Feeder coefficient of variation,30,-0.09918211834309014,-14.644902856273198,-37.91892853877188,1.454083274563217e-47,1.715818263984596e-45,4.362249823689651e-46,True,True,-0.10015881291419622,-0.09820542377198406,-0.10015437242016947,-0.0983112927162076,False,,1.0598506065761375,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
main_sweep,0.5,5,capacity_both,prosumer_self_sufficiency,Prosumer self-sufficiency,30,-0.0026771184701555187,-0.36751181826836526,-6.278924186274975,4.647446886203378e-25,2.5096213185498243e-23,8.201376858005962e-25,True,True,-0.002836326072593155,-0.0025179108677178823,-0.0028239869173818577,-0.0025258519237825214,False,,1.068023585661974,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
main_sweep,1.0,2,capacity_pricing_only,avg_cost_per_agent_eur,Avg cost per agent (EUR/year),30,47.24546764384516,9.024885071052532,18.08848997406942,2.957096119029785e-38,2.8388122742685936e-36,1.3648135933983625e-37,True,True,46.27016525113531,48.22077003655501,46.342237137553546,48.19723871824546,False,,1.051538071839339,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
main_sweep,1.0,2,capacity_pricing_only,load_concentration_hhi,Load concentration HHI,30,-0.0009913721147313667,-0.18637270231143196,-1.098765022096133,1.5152972852835459e-06,3.333654027623801e-05,1.818356742340255e-06,True,True,-0.0013282816668258994,-0.000654462562636834,-0.0013293445615065605,-0.0006923485918397997,False,,1.0578074843104082,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
